Andy Isabella,1.5,ARI,
Dan Arnold,1.2,ARI,
Julio Jones,0.0001,ATL,
Olamide Zaccheaus,3.75,ATL,
Christian Blake,7,ATL,
Calvin Ridley,1.03,ATL,
Todd Gurley II,1.03,ATL,
Hayden Hurst,1.05,ATL,
Russell Gage,1.05,ATL,
Tyler Kroft,1.66,BUF,
Dawson Knox,0.0001,BUF,
Zack Moss,0.0001,BUF,
Mike Davis,1.125,CAR,
Anthony Miller,0.8,CHI,
Riley Ridley,0.0001,CHI,
Tee Higgins,1.5,CIN,
John Ross,0.0001,CIN,
KhaDarel Hodge,2,CLE,
Rashard Higgins,0.0001,CLE,
Tim Patrick,1.35,DEN,
KJ Hamler,0.9,DEN,
DaeSean Hamilton,1.7,DEN,
Jordan Akins,1.1,HOU,
Darren Fells,0.6,HOU,
Van Jefferson Jr.,0.8,LAR,
Nelson Agholor,1.2,LV,
Zay Jones,2.8,LV,
Tajae Sharpe,0.0001,MIN,
Olabisi Johnson,1.2,MIN,
Justin Jefferson,1.05,MIN,
Damiere Byrd,1.2,NE,
Rex Burkhead,1.3,NE,
Jakobi Meyers,0.5,NE,
Ryan Izzo,1.4,NE,
Dalton Keene,0.0001,NE,
Damion Ratley,1.9,NYG,
Golden Tate,1.1,NYG,
Josh Malone,1.9,NYJ,
Chris Hogan,1.2,NYJ,
Braxton Berrios,1.2,NYJ,
JJ Arcega-Whiteside,1.6,PHI,
Greg Ward,1.25,PHI,
John Hightower,3,PHI,
James Conner,1.1,PIT,Leverage off game stacks
Jalen Guyton,1.5,SD,
David Moore,1.25,SEA,
Chris Carson,1.1,SEA,Leverage off game stacks
Jeff Wilson Jr.,1.4,SF,
Mohamed Sanu,1.85,SF,
Jerick McKinnon,1.1,SF,
Cam Batson,1.8,TEN,
Geoff Swaim,0.0001,TEN,
Dontrelle Inman,1.35,WAS,
Bryce Love,0.0001,WAS,
Dezmon Patmon,0.0001,IND,
Breshad Perriman,0.0001,NYJ,
Luke Wilson,0.0001,SEA,
Hunter Bryant,0.0001,DET,
Justin Watson,0.0001,TB,
Nick Vannett,0.0001,DEN,
Albert Okwuegbunam,0.0001,DEN,